@RELATION trialquotes_newdata

@ATTRIBUTE index_number REAL
@ATTRIBUTE tweet STRING
@ATTRIBUTE sentiment {-1.0,1.0}

@DATA
1200,"live : alphabet $googl paid clicks surge <num>.<num> %",1.0
1201,"here comes the flood ( favorite peter gabriel song ) of earnings ! intel beat on earnings and sales but $intc down <num> % after hours so far .",1.0
1202,"starbucks reports record holiday and record <alphanum> <alphanum> results $sbux",1.0
1203,"president trump backs <num> % import tax to pay for border wall , aide says $gm $wmt $aapl $ba",1.0
1204,"starbucks reports <alphanum> eps $<num>.<num> in-line , sales $<num>.<num>b vs $<num>.<num>b est $sbux",1.0
1205,"#breaking : alphabet $googl <alphanum> revenue ex-tac , $<num>.<num>b vs. $<num>.<num>b expected",1.0
1206,"#breaking : starbucks $sbux <alphanum> non-gaap earnings per share ( eps ) $<num>.<num> inline with expectations",1.0
1207,"earnings : intel <alphanum> eps $<num>.<num> adj . vs. $<num>.<num> est . ; <alphanum> revs . $<num>.<num>b vs. $<num>.<num>b est . $intc",1.0
1208,"#breaking : intel corp. $intc <alphanum> revenue , $<num>.<num>b vs. $<num>.<num>b expected",1.0
1209,"#breaking : intel corp. $intc <alphanum> non-gaap earnings per share ( eps ) beats estimates , $<num>.<num> vs. $<num>.<num> expected",1.0
1210,"the market is closed now so read this and think about your future it all starts and ends with you $fb $twtr",1.0
1211,"warren buffett had a very good day $chtr $vz $ibm",1.0
1212,"alphabet generated $<num>bn in the quarter ( wall st wanted at least $<num>bn ) and yet $goog is tanking !",1.0
1213,"microsoft reports <alphanum> adj . eps $<num>.<num> vs $<num>.<num> est. , microsoft reports <alphanum> adj revenue $<num>.<num>b , may compare better to $<num>.<num>b est . $msft",1.0
1214,"cue the mister softee ice cream truck song . microsoft beat on earnings and sales . $msft flat after hours .",1.0
1215,"rt @cnbc : earnings : microsoft <alphanum> eps $<num>.<num> adj . vs. $<num>.<num> est . ; <alphanum> revs . $<num>.<num>b vs. $<num>.<num>b est . $msft",1.0
1216,"data center and internet of things chips drive #intel <alphanum> revenues to $<num>.<num> billion $intc via @venturebeat",1.0
1217,"rt @starbucksnews : starbucks reports record holiday and record <alphanum> <alphanum> results $sbux",1.0
1218,"$intc reports inline with the estimize eps consensus and beats the estimize revenue consensus by $<num>.<num>m -",1.0
1219,"rt @lamonicabuzz : $googl finished year with $<num>.<num>b in cash . full earnings release here .",1.0
1220,"overall <alphanum> revenues were up <num> % from the prior year , and <num> % from the third quarter . @nolter $googl",1.0
1221,"#intel $intc <alphanum> earnings , eps <num>c vs <num>c . revenue $<num>.<num>b vs $<num>.<num>b . #trendingshares #trading #shares",1.0
1222,"intel s $<num>.<num> bln <alphanum> revenue beat analysts avg of $<num>.<num> bln ( all in pcs ) . adjusted eps of <num> cents beat analysts avg <num> cents $intc +<num>.<num> %",1.0
1223,"#alphabet $goog <alphanum> earnings , eps $<num>.<num> vs $<num>.<num> . revenue $<num>.<num>b vs $<num>.<num>b . #trendingshares #trading #shares",1.0
1224,"alphabet 's results are out . revenue of $<num>.<num>b ( $<num>.<num>b excluding tac ) and non-gaap eps of $<num>.<num> . @ericjhonsa $googl",1.0
1225,"$googl $<num> is support . then $<num>ish",1.0
1226,"alphabet soup . google missed on earnings but sales topped forecasts . really solid growth in paid clicks . <num> % but $googl down <num> % after hours .",1.0
1227,"rt @cnbcnow : earnings : intel <alphanum> eps $<num>.<num> adj . vs. $<num>.<num> est . ; <alphanum> revs . $<num>.<num>b vs. $<num>.<num>b est . $intc",1.0
1228,"$goog is so prompt i love it",1.0
1229,"keep it up $intc , you 're almost there : intel could break <num>-year resistance after earnings $intc",1.0
1230,"microsoft blows past estimates in every category , beats street $msft",1.0
1231,"after hours earnings movers : $googl $msft $sbux $intc $pypl",1.0
1232,"rt @estimize : this afternoon 's winner for $msft is @jhamel who beats <num> other analysts and the wall street consensus -",1.0
1233,"this afternoon 's winner for $msft is @jhamel who beats <num> other analysts and the wall street consensus -",1.0
1234,"$msft beats the estimize eps consensus by <num>c and the estimize revenue consensus by $<num>.<num>m -",1.0
1235,"this afternoon 's winner for $sbux is analyst_<num> who beats <num> other analysts and the wall street consensus -",1.0
1236,"nice growth in cloud biz for microsoft . and it continues to mint money . like $aapl and $googl . $msft finished quarter with $<num>.<num>b in cash .",1.0
1237,"nice quarter for the `` tel '' in wintel . well , i guess intel is also the intel in wintel . anyhoo , $intc up <num> % after hours on eps & amp ; sales beat .",1.0
1238,"alphabet 's stockpile of cash and equivalents grew to $<num>.<num> billion . @nolter $googl",1.0
1239,"rt @lizrhoffman : bank stocks ripping higher as deregulation goes from backburner to front $ms +<num> % $jpm +<num> % $gs +<num> %",1.0
1240,"the $msft $<num>b commercial cloud run rate is only up $<num>b from seq prec quarter (",1.0
1241,"this afternoon 's winner for $pypl is cantor_<num> who beats <num> other analysts and the wall street consensus -",1.0
1242,"$msft highlights : ccloud $<num>b run rate <alphanum> consumer to <num>.<num>m <alphanum> +<num> % rev yoy azure rev +<num> % yoy $<num>.<num>b surface rev +<num> % search rev",1.0
1243,"microsoft shares are up <num> % on another slow & amp ; steady pivot from software $msft",1.0
1244,"rt @cnbcclosingbell : tomorrow : @starbucks ceo howard schultz joins @squawkstreet in an exclusive interview . do n't miss ! $sbux",1.0
1245,"starbucks earnings day $sbux $$",1.0
1246,"$googl 's @sundarpichai says ai assistant `` off to a great start '' & amp ; will continue to be machine learning centerpiece .",1.0
1247,"the s & amp ; p <num> is up <num> % since volatility started falling in september . $spy",1.0
1248,"microsoft just traded as high as $<num>/share after earnings . a new all-time high . it 's already up <num> % this year : $msft",1.0
1249,"microsoft beats <alphanum> estimates $msft",1.0
1250,"rt @alex : for $goog , other bets covered <num>.<num> % of its op costs ( rev+op losses ) in the year-ago q , that improved to <num>.<num> % in mrq .",1.0
1251,"jokes aside , $goog did a good job shoring up other bets rev ( + ) and its losses ( - ) , which helps with margisn .",1.0
1252,"still long $qcom closed above <num>.<num> after dipping below during the day . good day for $uri and $phm",1.0
1253,"johnson : mobile order & amp ; pay had a banner quarter , representing more than <num> % of total u.s. transactions . $sbux",1.0
1254,"i love stocks . you know non-investors hear $sbux just chalked up $<num>.<num>b in sales & amp ; think `` dayum ! '' then they see the",1.0
1255,". @starbucks will be expanding its #teavana assortment , according to the company s <alphanum> <alphanum> call . $sbux",1.0
1256,"schultz : the starbucks brand and business have never been stronger or more universally relevant and accepted as today . $sbux",1.0
1257,"schultz : no brick and mortar retailer is better positioned to navigate and profit from the ongoing consumer shifts underway . $sbux",1.0
1258,"on core ad biz , $googl 's pichai says `` most publishers getting higher click-thru rates , $$. ''",1.0
1259,"alphabet will no longer exclude stock-based compensation for google employees from earnings . hooray ! $goog $googl",1.0
1260,"schultz : starbucks is expanding our base of loyal customers more effectively and reliably than ever before . $sbux",1.0
1261,"upcoming big <num> earnings : $aapl jan <num> $fb feb <num> $amzn feb <num>",1.0
1262,"rt @financialreview : . @elonmusk 's surprise rapport with @realdonaldtrump sparks <num> % @teslamotors rally . #tesla $tsla #cars",1.0
1263,"rt @starbucksnews : maw : credit for our success in <alphanum> belongs to starbucks partners around the world who proudly wear the green apron . $sbux",1.0
1264,"maw : credit for our success in <alphanum> belongs to starbucks partners around the world who proudly wear the green apron . $sbux",1.0
1265,"#intel ceo saw strong holiday pc sales and data center growth in <alphanum> $intc via @venturebeat",1.0
1266,"today 's most active #options $msft $fb $aapl $vz",1.0
1267,"rt @cnbcfastmoney : poll : $googl falling after hours , while $msft is slightly higher . so would you rather ? alphabet vs. microsoft",1.0
1268,"$bac has had a monster move and needs to consolidate more",1.0
1269,"alphabet had big quarter , and the seeds seem to be there for growth beyond google advertising revenue $goog $googl",1.0
1270,"maw : channel development gained share in all key u.s. categories in at-home and ready-to-drink . $sbux",1.0
1271,"maw : emea delivered among the strongest operating margins in its history in <alphanum> , <num>.<num> % . $sbux",1.0
1272,"maw : starbucks digital flywheel continues to gain momentum and drive our business . $sbux",1.0
1273,"poll : $googl falling after hours , while $msft is slightly higher . so would you rather ? alphabet vs. microsoft",1.0
1274,"rt @barronstechblog : microsoft rising : better pcs help lift <alphanum> sales - tech trader daily - barron 's $msft",1.0
1275,"$msft good and up . $goog good and down . $intc good and up . tech earnings looking good .",1.0
1276,"johnson : china/asia pacific was once again starbucks fastest-growing segment with revenues up <num> % and comp sales up <num> % . $sbux",1.0
1277,"this gets me studying harder : i hope it does for you too as the world is so beautiful it 's crazy $fb $twtr",1.0
1278,". @starbucks egg bites are super popular + the company will be introducing a gluten-free sammy soon : kevin johnson , president and coo $sbux",1.0
1279,"food now <num> % of starbucks sales . company thinks lunch business could be opportunity - testing lunch concept in chicago this summer . $sbux",1.0
1280,"benzinga 's option alert recap from january <num> $aapl $ally $ari $wen $mbi $yum $shld $mpel $rh $esrx $kate $himx $mgm",1.0
1281,"starbucks says its biggest delivery opportunity is in china where costs low enough customers willing to pay . $sbux",1.0
1282,"$luv shares soar <num> % after @southwestair reports stronger demand for #travel , improving revenue per mile .",1.0
1283,"starbucks opened <num>,<num> net stores over the past <num> months ; as many as chipotle has open today in total . $sbux",1.0
1284,"<num> could be transformative for integra gold : $icg.tsxv $icgqf @integragoldcorp #gold",1.0
1285,"rt @starbucksnews : johnson : mobile order & amp ; pay had a banner quarter , representing more than <num> % of total u.s. transactions . $sbux",1.0
1286,"rt @ophirgottlieb : $qqq quadrupling the nasdaq <num> in six months",1.0
1287,"rt @thestreet : alphabet 's stockpile of cash and equivalents grew to $<num>.<num> billion . @nolter $googl",1.0
1288,"microsoft , intel , alphabet results buoyed by cloud boom - $googl $msft $intc",1.0
1289,"google 's execution remains great , even if pricing and spending issues have markets nervous - $googl",1.0
1290,"chinese new year is here ! some stocks to look forward to : $baba $ptr $shi $ctrp start w/ ibd digital to make money !",1.0
1291,"rt @ophirgottlieb : $vix $vxx using volatility to turn profits for <num>-straight years with options",1.0
1292,"wall street 's warming up to @costco stock in <num> $cost",1.0
1293,". @sundarpichai said it 's `` very early days '' for voice search but he sees `` more opportunity than challenge '' with the tech $goog",1.0
1294,"just listening back to @sundarpichai on the alphabet earnings call , interesting lines on voice search and google assistant $goog",1.0
1295,"google 's earnings report revealed some surprising pressures $googl",1.0
1296,"$googl option dealers who sell premium , win today . after hours low was $<num> . it spent most the time above $<num>- $<num> . could use some time",1.0
1297,"$aal shares up <num> % pre-market after the airline shows first <num>q increase ( up <num>.<num> % ) in revenue per seat mile since <num>",1.0
1298,"rt @lebeaucarnews : earnings alert : $aal matches <num>q estimates earning $<num>.<num>/share",1.0
1299,"fake news alert : $aapl machine hard at work building hype ahead of results next week . now we 're supposed to buy because the <num> is awesome .",1.0
1300,"$ebay earnings beat , retail trends suggest more growth ahead",1.0
1301,"rt @silviaascarelli : and it also did way better than the russell <num>. , $spx $rut",1.0
1302,"rt @foxbusiness : american airlines ' <num>q earnings beat expectations $aal #earnings",1.0
1303,"watch these <num> huge call purchases in friday trade $aapl $bcrx $fred $gpre $rh $himx $siri $syy $wen $mpel",1.0
1304,"american airlines ' <num>q earnings beat expectations $aal #earnings",1.0
1305,"and it also did way better than the russell <num>. , $spx $rut",1.0
1306,"$googl - $db pt to $<num>,<num> -we come away from <num>q results upbeat on solid <num>-year growth trends in googl sites rev ex-fx . via @thenotablecalls",1.0
1307,"$googl - morgan stanley raises their pt to $<num> - 'these results were very strong , ' brian nowak comments via @thenotablecalls",1.0
1308,"great work by unclesays who takes the win for $aal beating <num> other analysts and the wall street consensus -",1.0
1309,"$aal beats the estimize eps consensus by <num>c and the estimize revenue consensus by $<num>.<num>m -",1.0
1310,"microsoft levels to watch after earnings $msft $amzn via @investopedia",1.0
1311,"and $googl turns green . operating profit , operating profit , operating profit , operating profit , operating profit , o",1.0
1312,"#stockalert - stocks to watch today on #wallstreet . $sbux $tsla",1.0
1313,"great article on beauty leader and one of the best stocks i 've ever owned . ultra salons . $ulta ulta shines ! #beauty",1.0
1314,". @businessinsider 's @therealjethro reports @jerryseinfeld 's deal with @netflix is worth $<num> million . here 's the sc",1.0
1315,"the market in <num> minutes : google and microsoft and intel , oh my ! $msft $intc $goog $aal $cat $f $cl $jblu $spy",1.0
1316,"$sbux is down over <num> % in pre-market trading after reducing its <num> revenue forecast .",1.0
1317,"$msft is up almost <num> % in pre-market trading after beating revenue and eps estimates .",1.0
1318,"american airlines matches wall street forecast for <num>q profit $aal",1.0
1319,"make american airlines great again ? solid profits for american . $aal up <num> % #premarket .",1.0
1320,"$googl : '' trade idea <num> : sell the january <num> expiry <num>/<num> strangle for a $<num> credit . '' looks good to keep whole credit",1.0
1321,"$intc : '' trade idea <num> : sell the january <num> expiry <num>.<num>/<num>.<num> strangle for a $<num>.<num> credit . '' looks good early to keep whole credit , watch <num>.<num>",1.0
1322,"paid clicks on google 's own sites rose an eye-popping <num> % thanks to mobile search : $googl",1.0
1323,"mobile and youtube drive alphabet 's <num>q growth - $googl great quarter , very bullish",1.0
1324,"starbucks ceo : not too concerned about the last quarter , we will solve mobile-related issues - $sbux very bullish",1.0
1325,"microsoft will pour more than $<num> billion annually into cybersecurity $msft",1.0
1326,"mobile and youtube drive alphabet 's <num>q growth $goog $googl",1.0
1327,"rt @e_russell : `` we re excited to get this refiled with the dot , '' says $aal 's nocella on aa-qf joint venture . they are refiling .",1.0
1328,"lam was so good last night -- $lrcx and here it goes because of cap ex boosts -- including $intc -- all good for lam ! !",1.0
1329,"consumer : `` we are a destination , '' starbucks is not affected by lower mall traffic , says howard schultz , outgoing ceo $sbux",1.0
1330,"here 's one we got right . added $msft to the buy list in <num>. interesting how the big home runs take about <num>-<num> years",1.0
1331,"stocks to watch : $msft eyes new <num>-week high , $sbux slides , $googl profit disappoints",1.0
1332,"pieces to the microsoft puzzle begin to fall into place as profitability improves $msft",1.0
1333,"current top stocks on cxe : $atln , $tsco , $isp , $novn , $ubsg #livedata #batseurope",1.0
1334,"american said latin america passenger revenue per available seat mile rose <num>.<num> % , while domestic gained <num>.<num> %",1.0
1335,"rt @businessinsider : ebay is on the upswing $ebay",1.0
1336,"ebay is on the upswing $ebay",1.0
1337,"ebay is on the upswing $ebay",1.0
1338,"ebay is on the upswing $ebay by @biintelligence",1.0
1339,"$msft been a beast .",1.0
1340,"`` very positive on the #google story '' gene munster @loupventures pichai steers to #ai $googl",1.0
1341,"<num> weeks until the next election . at this rate the $spy will be <num> bazillion . | off to the races |",1.0
1342,"despite a bottom line miss in the fourth quarter , @jimcramer is happy with alphabet 's revenue figures :",1.0
1343,"rt @randyafrederick : is bullish sentiment getting a little too frothy ? $vix is -<num>.<num> with the $spx -<num>.<num> despite the vix hitting a new <num>-m",1.0
1344,"line of the day : @rbc analyst on #google '' one of the strongest , most consistent fundamental stories in tech . period .",1.0
1345,"$nvda showing strength again .",1.0
1346,"$intc virtual reality : chip maker is set to score with tom brady",1.0
1347,"intel upgraded at morgan stanley on a solid quarter , achievable guidance $intc",1.0
1348,"$goog pins high hopes on this `` other '' business",1.0
1349,"wedbush 's nick setyan on @starbucksnews $sbux : confident in reiterated <alphanum> comp and eps guidance ; maintain #outperform and $<num> price target",1.0
1350,"fang stocks near record highs ; facebook , amazon earnings on tap - $fb $amzn",1.0
1351,"never ever count out copper ; when the sweepers start sniping $fcx , watch out !",1.0
1352,"rt @smartstocktrend : a lot of those @eddyelfenbein $cws stocks acting nicely ! $msft $bcr $shw $syk",1.0
1353,"thanks candice , the trades worked well & amp ; i appreciate you remembering $fb @candicemcoy",1.0
1354,"wedbush 's moshe katri on @paypal $pypl : in-line <alphanum> results/metrics + <alphanum> guidance , maintain #outperform and $<num> price target",1.0
1355,"$fb has had an incredible pre earnings run ; next wednesday 's er should be epic , one way or the other",1.0
1356,"rt @thechartress : here 's my fave #chartoftheweek - $vix vs $spx lt , wow ! yours ? wld love to rt",1.0
1357,"far from the most ridiculous gap we 've seen today , but damn did $msft reward those early buyers . just keeps on truc",1.0
1358,"$aal posts unit-revenue growth as #airlines push average fares higher . @americanair",1.0
1359,"greenhill extends m & amp ; a run with <num>.<num>bn tesco win via @financialnews $bok $tsco",1.0
1360,"breaking open the deck with $msft ! a <num> .",1.0
1361,"time for antitrust regulators to target microsoft again ? kidding ! but $msft on fire . up <num> % after earnings . all-time high . market cap : $<num>b .",1.0
1362,"stifel says facebook well positioned into <alphanum> ; what to watch on the call ? $fb",1.0
1363,"rt @defotis : will #chinesenewyear #roosteryear boost macau #casino earnings ? $wynn $mpel $lvs #vegas #china @barron",1.0
1364,". @jimcramer is playing poker with some of the biggest media companies thanks to zelnick media . which names made his",1.0
1365,"microsoft successfully pivots to cloud , becomes one of the largest and fastest platforms $msft",1.0
1366,"trump 's border tax would send prices sky-high , but $tsla would love it via @barrons",1.0
1367,"key takeaways and positives from paypal 's <alphanum> report $pypl",1.0
1368,"rt @charliebilello : returns , last <num> years ... $amzn : +<num> % $wmt : +<num> % $tgt : +<num> % $bby : +<num> % $bbby : -<num> % $m : -<num> % $kss : -<num> % $spls : -<num> % $jc",1.0
1369,"did you miss google or microsoft earnings ? we have an easy way to catch you up $msft $googl",1.0
1370,"$tsla motors : why a border tax would be great news via @barrons",1.0
1371,"#investors applauded #microsoft s december-quarter results and pushed the #stock modestly higher . $msft",1.0
1372,"the other dow etf is winning , too $dia $djd $ba $cat $cvx",1.0
1373,"microsoft says its attack on apple 's mac business is working $msft $aapl",1.0
1374,"do n't short the shat ! $pcln up <num> % . near $<num>,<num> . all-time high . amazing given how low it was after dot-com bust . needed reverse split !",1.0
1375,"<num> tips to making $<num>,<num> in <num> day as several of my students have learned $fb $twtr",1.0
1376,"microsoft and google keep fog around cloud growth #tech $goog",1.0
1377,"so much for airbnb killing the hotel business ? marriott is booming . $mar hit an all-time high today , up <num> % over the past year .",1.0
1378,"live : what this week 's big tech earnings mean - $googl $intc $msft",1.0
1379,"$nflx goes out well . rel . strength today . i also bought some of the $amzn calls for earnings next week into weakness . i will add if lower",1.0
1380,"rt @kerrymflynn : casual news drop right before $goog earnings , courtesy of $fb : facebook is giving longer videos a bump in news feed",1.0
1381,"starbucks ceo schultz plans to hire <num>,<num> refugees after #trump ban . $sbux",1.0
1382,"#stocks to watch today : $dal , $fit , $tm , $tpx",1.0
1383,"$spx island top ? ? or break out retest ? levels and thoughts as we enter today",1.0
1384,"i wish they had good coffee - i 'd support this . $sbux will hire <num>,<num> refugees in response to trump 's travel ban",1.0
1385,"watch these <num> huge call purchases in monday trade $ally $chkp $cvs $fred $hznp $ddd $stz $mxim",1.0
1386,"two strategists discuss stocks that could be your best buys ahead of earnings this week . $fb $amzn",1.0
1387,"#stockalert - stocks to watch today on #wallstreet $fit $googl",1.0
1388,"$iwm <num>day is $<num>.<num> . that 's worth a look today for a scoop long of it holds it .",1.0
1389,"cramer 's mad dash $csx rally",1.0
1390,"#stockalert - stocks to watch today on #wallstreet $aapl",1.0
1391,"apple 's earnings are out tomorrow and we look at the chance to benefit from a potential move in price action",1.0
1392,"downside pre-mkt : $tpx , $rad , $fit , $viav , $ung , $arry , $cnhi , $ts , $db , $bcs , $fcau powered by",1.0
1393,"believing in the buyback etf $aapl $ba $pkw",1.0
1394,"tesla . saving the world from climate change . thanks @elonmusk $tsla tesla s battery revolution ! #energy",1.0
1395,"@hedgeye as inflation heats up along with us growth , we like financials $xlf & amp ; oil & amp ; gas exploration and production $xop .",1.0
1396,"<num> must-know facts from american airlines ' earnings call $aal via @thestreet",1.0
1397,"with more than <num> million active buyers , alibaba 's marketplaces attract sellers who want a big audience :",1.0
1398,"why southwest is likely to be one of the only airlines to see its earnings liftoff in <num> $luv",1.0
1399,"here are <num> traits of successful people see what 's working best for people $fb $twtr",1.0
1400,"rt @ophirgottlieb : $aapl one-time , and one-time only , directly from cml pro : earnings alert : the astonishing truth behind apple",1.0
1401,"wedbush s james dix discussed competition between cloud providers on @cnbc #cloudcomputing $amzn $msft $googl $ibm",1.0
1402,"$fb the option strategy in facebook that has been a consistently big winner",1.0
1403,"rt @thegreggamba : still love the $twtr succeeds because $fb fails theory ... .",1.0
1404,"facebook aims to be more essential with password recovery tool $fb",1.0
1405,". @jimcramer still likes apple , but he says you should wait until after its earnings to buy it :",1.0
1406,"true . but this `` island top '' type of pattern in $spx $nasd and $indu . could be the technical start . good to take not",1.0
1407,"ea stock has gained almost <num> % over the past <num> months , trading at about $<num>.<num> in the early afternoon : $ea",1.0
1408,"this analyst is positive on american airlines , despite investors bearish take $aal",1.0
1409,"rt @cnntech : . @starbucks unveils a chatbot app for ordering $sbux",1.0
1410,"$spx update- question is ? what 's your time frame ? how active are you ?",1.0
1411,"forget the patriots and the falcons ; put your money on super bowl stocks : $nke $gm",1.0
1412,"starbucks to hire <num>,<num> refugees after immigration ban $sbux",1.0
1413,"$vix $vxx the option strategy that was won for <num> straight years",1.0
1414,"netflix : #netneutrality changes under trump wo n't affect our company - business insider $nflx",1.0
1415,". @starbucks adds voice ordering capabilities to ios , amazon 's alexa . latest move for $sbux to go digital",1.0
1416,"<num> footwear industry recap : retro classics grew <num> % on the year $addyy $nke $pum $uaa",1.0
1417,"$qqq <num> % of adv . $iwm <num> % $spy just <num> %",1.0
1418,"why you need to factor market valuations into your retirement plan : @lanceroberts $spy $qqq",1.0
1419,"hilarious , #boycottstarbucks is trending and it 's actually amazing/free marketing for starbucks . good job twitter & amp ; well played $sbux .",1.0
1420,"how did the dogs of the dow #stocks perform in <num> ? $ba $cvx $cat $pfe $ko $pg $xom $vz $mrk $csco $wmt $ibm",1.0
1421,"nike will get the most screen time thanks to its exclusive rights to provide the nfl 's uniforms : $nke",1.0
1422,"<num> stocks to watch before the market opens tomorrow $xom $uaa $hog $ma $coh",1.0
1423,"rt @srussolillo : there is a huge and growing part of apple 's business that isn t getting enough attention $aapl",1.0
1424,"there is a huge and growing part of apple 's business that isn t getting enough attention $aapl",1.0
1425,"$spx put a low in at <num>. held the <num>day & amp ; trend that started from post election . next few days will b interesting",1.0
1426,"apple could still have monster upside $aapl",1.0
1427,"the option market is implying a <num>.<num> % earnings related move in $amzn ... @optionsaction",1.0
1428,"gold is one tweet away from new highs $ag $gdxj $gld",1.0
1429,"rt @timothysykes : you must learn about pre-market and after-hours trading this is very important $fb $twtr",1.0
1430,"twitter inks another big sports live-streaming deal in its battle with facebook , snapchat $twtr",1.0
1431,"rt @barronsnext : millennial fan-favorite venmo could become a big part of paypal 's future . $pypl",1.0
1432,"life science leader dr. tony coles elected to $regn board of directors",1.0
1433,"<num> stocks you should be watching today $aapl $abc $coh $lly $pkg $ea $sanm $s $xom $pfe $dhr $ma $rga $ups $x",1.0
1434,"well deserved comp for a great job . $sbux how howard schultz earned more than half a billion in nine years",1.0
1435,"appears to be sizable hedger in $vix market targeting <num>-<num> range . with #vix around $<num> , cheap insurance on $spy",1.0
1436,"tesla gives the california power grid a battery boost - the new york times $tsla #infrastructure",1.0
1437,"good prep <num> $aapl . i liked it from the rdr , <num>/<num> , $<num>.<num> pivot . after this move i wo n't take into eps . i might tra",1.0
1438,"gold is the new equity in the trump rally $gdx $gld $jnug",1.0
1439,". @jimcramer -- 'cisco 's business is good ; that stock is a buy ' $csco",1.0
1440,"interesting . this should be good . #netflix $nflx",1.0
1441,"the most accurate $xom estimate is from analyst_<num> , beating <num> other analysts and the wall street consensus -",1.0
1442,"$xom beats the estimize eps consensus by <num>c and misses the estimize revenue consensus by $<num>.<num>b -",1.0
1443,"watch these <num> huge call purchases in tuesday trade $axdx $crm $hain $wft $wmgi $yelp $rh",1.0
1444,"rt @wallstjesus : monday 's top sweepers , wiseguy activity & amp ; sentiment & gt ; & gt ; $spy $qqq $sbux $aa $dis $stx $mcd",1.0
1445,"the csx-hunter harrison story , pondering the upside potential $csx $cp",1.0
1446,"#stockalert - stocks to watch today on #wallstreet $aapl $ua",1.0
1447,"rt @zortrades : frank zorrilla : taking a look at breadth $spy",1.0
1448,"apple 's services business generated $<num>.<num> billion in sales in the fourth fiscal quarter of <num> :",1.0
1449,"#walmart to offer free <num>-day shipping with no subscription fee . will #amazon finally see some competition ? $wmt",1.0
1450,"the iphone totaled <num> % of apple 's <num> fiscal revenue , but do n't forget the mac and apple watch come december : $aapl",1.0
1451,"better $fdx support at <num> than <num> .",1.0
1452,"why ibm stock gained <num> % in <num> @themotleyfool #stocks $ibm",1.0
1453,"rt @foxjust : big metro area wins , small metro loses yet again as $cat moves hq from peoria to chicago",1.0
1454,"i 'll be on @cnbcclosingbell today taking about the future of #apple on earnings at <num>:<num> pst . $aapl . facebook and amazon up today too . $fb",1.0
1455,"big metro area wins , small metro loses yet again as $cat moves hq from peoria to chicago",1.0
1456,"<num> - <num> already new $fdx resist",1.0
1457,"exxon mobil paid an effective tax rate of <num> % last year , per earnings call $xom",1.0
1458,"my quarterly $aapl #iphone unit sales chart . holiday season y/y growth would buck the recent trend . #earnings",1.0
1459,"microsoft sells $<num> billion in second bond deal in six months - bloomberg $msft",1.0
1460,"cheap #oil keeping the heat on #exxonmobil as profits drop <num> % . but revenue up for <num>st time since mid-<num> : $xom",1.0
1461,"can #facebook deliver another record set of numbers ? $fb",1.0
1462,"rt @bvz_investools : $spx highs double to <num> . $xlb is the new king . #trumpwall ? $xlf not #<num> for <num>st time in <num> months . $msft $dow #<num>weekhigh",1.0
1463,"#apple will report their first numbers on how a slew of new products have been selling including the new macbook pro and iphone <num> $aapl",1.0
1464,"$tsla just a monster , all time frames",1.0
1465,"apple <alphanum> on tap : bmo sees big beat on <alphanum> , <alphanum> outlook via @yahoofinance - $aapl",1.0
1466,"microsoft may be gaining traction against salesforce in the cloud space $crm $msft",1.0
1467,"$ibm board approves regular quarterly cash dividend",1.0
1468,"auto parts retail : amazon vs. brick & amp ; mortars $aap $amzn $azo $orly",1.0
1469,"facebook 's video efforts could steal the show on earnings call $fb",1.0
1470,"apple 's gon na report earnings tonight . get up to speed courtesy 's of @sharatibken 's preview $aapl",1.0
1471,"how crazy is the final yolo ? here 's the probability this epic short nets a profit : $aapl",1.0
1472,"analyst : apple 's streak of declining iphone sales in consecutive quarters has ended $aapl",1.0
1473,"rt @npetallides : the $djia is falling again today . is there light at the end of the tunnel ? @happeningnow with @heatherchilders and @jonsc",1.0
1474,"rt @neiltwitz : some context before the to be strong apple earnings call $aapl . apple-samsung premium share gap the widest & gt ; <num> %",1.0
1475,"rt @jsnell : we re covering $aapl results at @bleedsixcolors and @sixcolorsevent later today . guidance predicted it will be apple s biggest",1.0
1476,"venmo 's monetization will be worth watching $pypl",1.0
1477,"venmo 's monetization will be worth watching $pypl",1.0
1478,"venmo 's monetization will be worth watching $pypl by @biintelligence",1.0
1479,"what to watch for in apple earnings after the bell : iphone <num> could break streak of shrinking sales",1.0
1480,"who knew you could short a <alphanum> concert ticket like it was a share of $aapl via @nathanchubbard",1.0
1481,"las vegas strip finishes off solid <num> with <num>.<num> % december revenue gain $byd $lvs $mgm $rrr $wynn",1.0
1482,"$twtr up <num>.<num> % today and <num>.<num> % ytd . optimism about earnings ( due out next week ) in the trump world we live in ?",1.0
1483,"taking stock of tesla shares after recent rally $tsla",1.0
1484,"rt @barronstechblog : amazon shares could correct on margin disappointment , say piper , mizuho - tech trader daily - barron s $amzn",1.0
1485,"exxon says it can reach a multi-decade production plateau from its new permian assets at <num>,<num> barrels of oil equivalent per day $xom",1.0
1486,"interesting to see the @jack complex of $sq and $twtr both up ...",1.0
1487,"electronic arts reports results after the close . $ea down today but up <num> % ytd & amp ; near <num>-week high . competitors $atvi $ttwo up this year too .",1.0
1488,"wal-mart hopes to gain the upper hand against amazon with new shipping policy $amzn $wmt",1.0
1489,"rt @hedgeye : *live q & amp ; a today @<num>:<num>pm* @hedgeyehwp & amp ; @hedgeyefood discuss $usfd $wfm $cost & amp ; what to watch in consumer staples .",1.0
