"","tweets","positive","negative","score"
2226,"$nvda `` trade idea <num> : buy the february <num> expiry <num>/<num> <num> <num> put spread for $<num>.<num> . '' gon na lose the nickel",1,1,1
2227,"all you silicon valley libertarians should remember why hank rearden had a great labor force : high wages and a strong union . $tsla",1,1,1
2228,"@the_real_fly some people vote with their dollars ( i find nike products superior anyway $nke )",1,0,1
2229,"it 's not for any particular reason but sold $spy . nice three day trade from the rdr $<num>.<num> pivot then add above $<num>.<num> .",0,1,1
2230,"here 's why everyone is watching tesla today . it 's about to trade at its most important level ever : $tsla",0,0,1
2231,"netflix is getting into merchandise ... and it 's a brilliant idea $nflx",1,0,1
2232,"when #china bashing gets loudest its usually time to buy $fxi and other blue chip china #tech plays $baba $bidu $tcehy",1,0,1
2233,"rt @marc_slans : @ophirgottlieb i 'm really wondering where $nvda 's market cap will be in <num> years ? could be a monumental stretch ...",0,0,1
2234,"downtown josh brown : twitter is no facebook , but still has huge potential $twtr $fb @reformedbroker",0,1,1
2235,"is about to shake up ... the bra industry . watch out , victoria 's secret $amzn",0,0,1
2236,"facebook lite finds success in emerging markets $fb",1,0,1
2237,"bright spot for twitter : publishers are seeing video views jump $twtr",0,0,1
2238,"nvidia revealed some amazing earnings numbers yesterday , showing why it has had this crazy run on wall street .",0,0,1
2239,"$ugaz #atm about to reset for a trade to $<num>",0,0,1
2240,"stocks hit new highs on trump 's mystery tax-cut plan b $wmt $nke $gs $dg $x",1,0,1
2241,"$fb was a great investment . i love day trading ... its a nice break from the chaos but i 'm getting back to work now .",1,1,1
2242,"@chris_ciaccia does n't mean i do n't like $nvda . it 's the best way to invest in the ai revolution . sometimes stocks just need a break .",1,1,1
2243,"$tsla trading higher after being blessed with the fake news imprimatur",0,0,1
2244,"rt @mevans<num> : on the road to voice #payments , #googl and $amzn pull ahead of $aapl . read my thoughts in @tmacheel 's @digiday story",0,0,1
2245,"nvidia 's better-than-expected results were its seventh straight quarter of trouncing consensus estimates :",0,0,1
2246,"if u traded $amzn for a gap fill . here i go . and if u traded $googl for a scalp above $<num> . there ya go . micro tac",0,0,1
2247,"wedbush on why zynga should 'win the race ' $znga",0,0,1
2248,"@aussieflya sorry . no worries there . we want it to go down so we can buy more $nvda",1,2,1
2249,"the home goods category is dominated by @walmart @target and @bedbathbeyond can department stores close the gap ?",0,0,1
2250,"activision blizzard is on fire . $atvi up <num> % on earnings . all-time high . competitors $ea $ttwo both rallying as well .",0,0,1
2251,"$nvda you were n't betting against nvidia ... were you ? ( long )",1,1,1
2252,"live : snapchat said it already plans to pay $googl $<num> billion over <num> years -",0,0,1
2253,". @uaw says it will greet $tsla workers with 'open arms ' via @reuters",0,0,1
2254,". @uaw says it will greet $tsla workers with `` open arms '' via @dailymail",0,0,1
2255,". @senwarren wants @goldmansachs to turn over 'any communications ' with alumni now serving in trump white house : $gs",0,0,1
2256,"what do tesla , netflix & amp ; disney have in common ? there 's talk apple could buy any one of them $aapl $dis $nflx $tsla",1,0,1
2257,"@jeff_burke<num> interesting . got to be in tech as many tech companies have the cash . how about $p $yelp $twtr $box $znga",1,0,1
2258,"after trump 's meeting thursday with airline industry leaders , many in the industry seemed pleased :",1,0,1
2259,"stock etfs led higher by oil , materials , small caps : $spy $qqq $uso $xle $cvx $xom $xlb $dow $dd $mon $fcx $gld $iwm",0,0,1
2260,"#fridayfade that $<num> closing all-time high posing a headwind for $aapl shares ; after opening at $<num>.<num> , drifting",0,2,1
2261,"stocks are loving the growth prospects of tax cuts and sensible regulation . let 's grow again ! $qqq , $spy all-time highs .",2,0,1
2262,"for our <num> pm et closing bell show , what news would you like us to lead off with ? #cheddarlive $fb $amzn $shld",0,1,1
2263,"and $ea $ttwo both at all-time highs too !",1,0,1
2264,"banks bet on investment tech $bac",0,0,1
2265,"banks bet on investment tech $bac",0,0,1
2266,"banks bet on investment tech $bac by @biintelligence",0,0,1
2267,"apple users have higher credit scores , get better rates than android fans $aapl @lendingtree",1,0,1
2268,"$fb if you 're long facebook calls , this is exactly how to max profits",2,0,1
2269,"jim cramer thinks nvidia remains a 'frighteningly positive story ' $nvda",1,0,1
2270,"$twtr market cap : $<num>.<num>b $xbt market cap : $<num>.<num>b twitter is dead ! long live #bitcoin !",1,0,1
2271,"rt @chicagostock : $twtr shareholders should love this & gt ; how twitter ceo , jack dorsey , restricted advertising for trump s campaign",1,0,1
2272,"run by robots : amazon s high-tech supermarket may only need three employees $amzn",0,0,1
2273,"$twtr @goldmansachs reiterates `` buy '' guidance : `` we continue to see significant value in twitter s user base , engagement , data and content ''",1,0,1
2274,"$iwm acts well today . i 'm still long . i did take the $spy trade off though",1,0,1
2275,"nvidia remains one of the most exciting growth stories in tech $amd $intc $nvda",2,0,1
2276,"how about making $<num>,<num> in just <num> hrs ? you need to watch this $fb $twtr",0,0,1
2277,"market $spy rallies on fitch warning . do n't fight the tape .",0,1,1
2278,"bernstein calls dollar general 'our strategic winner , ' attractive takeover target for amazon $amzn $dg $wmt",2,0,1
2279,"$dia $spy $iwm $qqq all at all-time highs , will they all close there ? this would be the first time since december <num>th",1,0,1
2280,"$intc the incredible opportunity in intel options -- if you 're smart",3,0,1
2281,"w/ earnings in the rearview , flow is pointing to fresh legs on the $spy next week . | back to business |",0,0,1
2282,"@wallstjesus beautiful multi-day on this one $ebay",1,0,1
2283,"rally continues , drj buys $googl calls , unusual activity in $cmcsa . host @jonnajarian",0,0,1
2284,"today 's chart : apple shares on brink of new all-time closing high $aapl @seanansmith",0,1,1
2285,"get today 's chat logs for free at see how we traded $skx $plug $bac $nugt $cei and more",0,0,1
2286,"already , with former $gs exec gary cohn at his side , @potus released two exec orders from the wall street wish list",0,0,1
2287,"yes , have pushed $nvda since $<num> ! ! thanks for remembering",1,0,1
2288,"bloomberg does it again . `` explode higher '' : $xlf up .<num> % $spy up .<num> %",0,0,1
2289,"yes . lots of that going on . which is why they are checking $fb metrics also",1,0,1
2290,"watch out , victoria : amazon 's getting into the bra business ! $amzn",0,0,1
2291,"rt @cboe rally continues , drj buys $googl calls , unusual activity in $cmcsa . host @jonnajarian",0,0,1
2292,"another reason @jimcramer thinks $agn is in charge of its destiny .",0,0,1
2293,"if $plug continues next week - we will have to watch oldies $fcel and $bldp they already starting perking up",0,0,1
2294,". @facebook inc $fb stock could gain big from @instagram s growing engagement",1,0,1
2295,"the latest samsung galaxy <alphanum> news . also , facebook will provide data for ad audit . watch : #cheddarlive #golive $fb",0,0,1
2296,"amazon is planning on selling a lingerie line , which recently started marketing bras for under $<num> in europe : $amzn",0,1,1
2297,"@cats_and_code *shrug* $xbt continues to rise ; $twtr continues to tank .",1,0,1
2298,"agreed - with $spy ripping all-time highs this week , @hedgeyeinternet nailed both $yelp and $twtr bear side",1,0,1
2299,"$qqq <num> green daily bars in a row .",0,0,1
2300,"$tsla the clever moves that turned into a beautiful option winner .",2,0,1
2301,"made our clients over a million dollars on video games today . awesome . i knew all that #battlefield<num> would pay off . $atvi up <num> % $ea up $<num>",0,0,1
2302,"$tsla worker jose moran in a new video . he wants successful , profitable tesla with better conditions . #outrageous ?",3,0,1
2303,"if you trade `` actively '' . this is day #<num> of indices $spy to the upside from $<num>.<num> . not a bad idea to have less- does n't mean go short",1,3,1
2304,"apple car tops consumer wish list for iphone maker : $aapl",0,0,1
2305,"$tsla stock could climb higher if the company meets production goals",0,0,1
2306,"breaking : joey struggles to find the tweets to explain yet another all-time closing high for $spy",0,3,1
2307,"apple ceo tim cook believes augmented reality is 'a big idea , like the smartphone' - $aapl",0,0,1
2308,"still to come : - $aapl $nflx $hd at all-time-highs . would you still buy them ? - one-year anniversary of the dimon bottom - @larry_kudlow",1,0,1
2309,"apple car tops consumer wish list for iphone maker - $aapl cc @armstrongcbc",0,0,1
2310,"nvidia could be at the forefront of `` the artificial intelligence revolution '' $nvda",0,0,1
2311,"$spx - $spx - something phenomenal on taxes -",0,0,1
2312,"apple released the first trailer for its 'carpool karaoke ' series during the grammys $aapl",0,0,1
2313,"#markets are holding on to gains this morning , after the bulls took charge last week . $ftse $dax $spx",1,0,1
2314,"cot : record longs in wti and copper reduced by ole hansen $oil $gld $slv",1,0,1
2315,"$iwm became a nice focus late last week for catch up alpha . i will trim into this . but hold some . $<num>.<num> was friday 's high .",0,1,1
2316,"$spx futures up <num> into my measured move area <num> from the <num> breakout last week . probably a spot to trim longs in day #<num> vs. add",1,0,1
2317,"$ino is getting up to $<num>m upfront for a hpv deal in china .",0,0,1
2318,". @twitter announced a new set of features this week to combat hateful and abusive content",0,1,1
2319,"fast money traders share their profit-taking candidates $amzn $an $azo $orly $uri $bac $jpm $c",0,0,1
2320,"you 're officially witnessing one of the calmest markets ever . seriously . this : $spy $voo $vix",0,1,1
2321,"$spx futures up <num>-<num> giving more upside follow thru to last week 's break out- trim & amp ; trail longs- do n't chase -",1,1,1
2322,"goldman sachs sees increased likelihood the iphone <num> will include ar content $aapl $lite",0,0,1
2323,"apple , nike , visa among dow 's top <num> gainers so far this year $aapl $nke $v $mrk $ibm",1,0,1
2324,"rt @factset : <num> % of $spx companies have beat eps estimates for <alphanum> to date , equal to the <num>-year average ( <num> % ) .",0,0,1
2325,"a peek into the markets : stock futures signal higher start on wall street $spy $uso $agn $dlx $lea $trv $zltq $nsp",0,0,1
2326,"watch these <num> huge call purchases in monday trade $arnc $k $kss $wfm $m $xpo $pxd",0,0,1
2327,"$agn to acquire $zltq , maker of the non-surgical body contouring coolsculpting system , for $<num>.<num>b or $<num>.<num> per share",0,0,1
2328,"rt @brentlsaunders : adding the best-in-class coolsculpting system to our world-class aesthetics business . $agn to acquire zeltiq..",0,0,1
2329,"$aapl iphone <num> tipped to sport iris-scanner ; <num>-inch model said to make a comeback",0,0,1
2330,"adding the best-in-class coolsculpting system to our world-class aesthetics business . $agn to acquire zeltiq..",0,0,1
2331,"<num> % of $spx companies have beat eps estimates for <alphanum> to date , equal to the <num>-year average ( <num> % ) .",0,0,1
2332,"alibaba shares are up <num>.<num> % since the start of the calendar year & amp ; that trend looks likely to continue :",0,0,1
2333,"<num> stocks moving in monday 's premarket $agn $zltq $axon $immu $on $vsm $cmre $teva $tsem $hain $box $inov $peri $ncs",0,0,1
2334,"here 's what sheldon adelson and donald trump could talk about $lvs $mgm $wynn",0,0,1
2335,"still looking like wall street believes $cat will be a big winner from a trump infrastructure plan . we just need to",1,0,1
2336,"huge number alert : $spx will reach $<num> trillion in market cap if it touches <num>.<num> ... a gain of <num>.<num> points ( via @peterschack ) .",1,0,1
2337,"cramer 's mad dash $agn",0,0,1
2338,"@nike new film/ad takes a stand for equality . #equality @serenawilliams & amp ; @lebron star . $nke",0,0,1
2339,"benzinga 's top upgrades , downgrades for february <num> , <num> $agu $aks $axti $regn $ba $mjn $rai $byd $trtn $pmts",1,1,1
2340,"#stocks start higher across the world . tesla & amp ; apple start higher . rally in tesla might just be gettting going . apple upgraded . $tsla $aapl",0,0,1
2341,"apple is headed for another record high . icymi @mktwhulbert had told you to expect more good news/upgrades .",1,0,1
2342,"the market in <num> minutes : hello ... can you hear me ? $spy $uso $teva $sny $aks $has $mat $regn $jcp $wsm",0,0,1
2343,"rt @<num>morrowknight : how the world wakes up on #twitter . $twtr #wcfdavos #socialmedia #maps",0,0,1
2344,"$ugaz #atm reloaded $<num> would be nice",0,0,1
2345,"and today it 's small caps turn , fresh all-time highs $iwm . make america grow again .",1,0,1
2346,"breaking : dow , s & amp ; p <num> reach record highs ; market value of s & amp ; p <num> surpasses $<num> trillion for first time ever .",2,1,1
2347,"rt @frankmottek : #stocks rally to record highs at opening bell #dow +<num> to <num>,<num> $aapl at new highs + $<num>.<num> to $<num>.<num> @knx<num> @cbsla @kn",2,0,1
2348,"apple up <num> % . $<num>.<num> . the all-time high of $<num>.<num> is in sight . and $aapl market value is back above $<num> billion as well . iwow",0,0,1
2349,"$vz unlimited data is back , burger king parent retaurant brands boosts profits , $agn buys fat treatment company",1,0,1
2350,"apple shares hit a new all-time high , first record in nearly two years via @erikholmwsj @wsjmoneybeat $aapl",0,0,1
2351,"apple shares in record territory $aapl via @erikholmwsj",0,0,1
2352,"moon shot : the s & amp ; <alphanum> mkt cap ~ $<num>trillion ! ! a stack of $<num> bills worth $<num>t would reach the moon w/ & gt ; <num>,<num>mi to s",0,0,1
2353,"check my figures but i think $aapl will hit the trillion-dollar market cap mark at a share price of ~ $<num>",0,0,1
2354,"same-day shipping is key to fighting amazon $amzn",0,0,1
2355,". @fedex 's new service takes aim at @amazon $fdx $amzn",0,0,1
2356,"$tsla standing ovation for the bulls ... have to see through a lot of noise . now $<num> billion",0,0,1
2357,"rt @lamonicabuzz : apple up <num> % . $<num>.<num> . the all-time high of $<num>.<num> is in sight . and $aapl market value is back above $<num> billion as well",0,0,1
2358,"qualcomm 's shares surge <num> % as analyst sets a $<num>,<num> target $qcom via @wsj",0,0,1
2359,"$aapl hits an all-time high on vague optimism something good will happen later this year . ( the best kind of catalyst ! )",2,0,1
2360,"apple 's stock is back at record highs . here 's one reason why $aapl",1,0,1
2361,"if $aapl can make it to the end of the day at the price it 's trading at it will be an all time high at closing",0,1,1
2362,"david einhorn 's great call on yelp $yelp",0,0,1
2363,"steelmakers rally as china reportedly mulls output cuts to fight smog $x $nue $aks $stld $aa",0,0,1
2364,"$aa nice looking breakout here . aligning on all timeframes",0,0,1
2365,"s & amp ; p <num> $spy just topped $<num> trillion in assets . market cap of remaining <num>,<num> stocks in the russell <num> : about $<num> trillion . wow !",1,0,1
2366,"rt @lamonicabuzz : tesla unstoppable or will this end badly ? $tsla up <num> % today & amp ; <num> % ytd . near all-time high . my story from thursday .",0,0,1
2367,"scary but true : almost every investor who owns a mutual fund or etf has reason to cheer $aapl 's high @chrisdieterich",0,0,1
2368,"looking for a trading internship ? contact me @$tsla $sgnl $crbp $ktos $hain $ocul $xoma",0,0,1
2369,"hopes for the <num>th-anniversary iphone propel apple shares above record closing level $aapl",0,1,1
2370,"rt @optionsaction : freeport is up <num> % in the last year . @michael_khouw & amp ; carter see more room to run $fcx",0,0,1
2371,"rt @optionsaction : $amzn & amp ; $googl are on the race to $<num>k @michael_khouw explains who will get there first",0,0,1
2372,"freeport is up <num> % in the last year . @michael_khouw & amp ; carter see more room to run $fcx",0,0,1
2373,"apple hits all-time high after ubs says its undervalued - $aapl where have i heard this narrative before ?",0,0,1
2374,"tesla brings electric cars to oil-rich , supercar-loving u.a.e . - $tsla",0,0,1
2375,"tech is breaking out . but if you missed out on the rally @riskreversal plays catch-up with $csco",0,2,1
2376,"with <num> % of companies reported , s & amp ; p earnings up <num> % year-over-year , strongest since <alphanum> <num> . $spx",1,0,1
2377,"the consensus on nvidia is still pretty positive $nvda",1,0,1
2378,"rt @brianprovost : google , please give google news the resources it deserves . like buying $twtr .",1,0,1
2379,"munster : apple is taking baby steps into augmented reality $aapl",0,0,1
2380,"@michaelsantoli but if you bought the <num> top you 'd be up <num>.<num> % before dividends . so ... basically ... every day is a good day to buy . $spx",3,0,1
2381,"real investment report : the bulls remain in charge : by @lanceroberts $spy $dia $qqq",0,0,1
2382,"lot of blue chip all-time highs today . $jpm $usb $pnc $all $nsc $luv $has $qsr $cost $hd $hon $gd $de $adbe $nflx $ea but not $aapl . yet .",1,1,1
2383,"<num> dividend stocks you can buy and hold forever , via kiplinger $xom $jnj $t $pg",1,0,1
2384,"if $aapl stays around this price it should beat its highest close ever",1,0,1
2385,"$aapl breaks out above pivot points ( long ) - see chart -- & gt ; via @cmlviz",1,1,1
2386,"making money on friday talked $x & amp ; $cat file : //webvideoio/output/social_video/sot<num>-sotmmmarketsread-<num>zyfs<num>ua_fbn_<num>_<num>-<num>_wmpg<num>.mp<num>",0,0,1
2387,"as investors overlook $aapl 's services business , stock price declared <num> % too low",0,2,1
2388,"apple is within a dollar of its highest stock price ever ( $<num>.<num> ) $aapl",1,0,1
2389,"tesla continues march toward new all-time highs $tsla",1,0,1
2390,"$intc how to turn intel into a phenomenal option trading stock",0,0,1
2391,"@pauljsingh dude.. $amzn back to highs !",1,0,1
2392,"<num> % of all s & amp ; p <num> components are trading above their <num>-day moving average right now : $spy $voo",0,0,1
2393,"rt @benzinga : tesla continues march toward new all-time highs $tsla",1,0,1
2394,"$tsla making money in options with tesla in a way ... . you would not have guessed",0,1,1
2395,"#apple is seeing a #trump bump as investors re-evaluate the stock , says analyst via ( @harri<num>t ) $aapl",0,0,1
2396,". @goldmansachs raises $aapl target to $<num> in anticipation of blockbuster #iphone<num>",0,0,1
2397,"#breaking - apple trading above its record close . $aapl",0,0,1
2398,"this is how you trade penny stocks with a small account it 's entirely possible ! $fb $twtr",0,0,1
2399,"$aapl so this is real.. and better yet , you can find your own trading gems . find your edge :",1,0,1
2400,"@rudyhavenstein correct , all-time ( total return ) for financials was at the end of may <num> , still <num> % to go before",0,0,1
2401,"#tesla is bringing its electric cars to the heart of the oil producing world . $tsla",0,0,1
2402,"getting #s like this is n't easy and it 's why i 'm i 'm so proud of my team 's hard work $fb $twtr",1,0,1
2403,"rt @charliebilello : returns since oct '<num> peak : $xly : +<num> % $xlp : +<num> % $xlv : +<num> % $xlk : +<num> % $xli : +<num> % $spy : +<num> % $xlu : +<num> % $xlb : +<num> %",0,0,1
2404,"took over <num> years , but financials today finally surpassed the high from the october <num> , <num> bull market peak . last",1,0,1
2405,"twitter as a co-op ? it is a dream that is worthy of consideration , says @andrewtghill $twtr @corpgovnet @sonjatrauss",2,0,1
2406,"$tsla shares creeping towards all-time high via @robertoferris",0,0,1
2407,"rt @defotis : citigroup shares : best #emergingmarkets bet for the cautious ? $c #banks #fed #trump #tarullo @barronsonline",1,0,1
2408,"size keeps pouring into $fb with yet another $<num> milly + call sweep @wallstjesus",0,0,1
2409,"why the son of former migrant workers supports stronger border control $eww $spy",1,0,1
2410,"i look for <num>-<num> day swing trades . sometimes more . i did sell my $spy friday from wednesday 's buy . & amp ; $iwm today , from thursday 's buy . #process",2,1,1
2411,"@henrygambell kicks off the trade of the week in $nvda . see his setup along w/ mine & amp ; the the team 's spin here",0,0,1
2412,"$aapl so everyone is now shocked how much tim cook loves ar . we wrote about his patent in july of '<num>",0,1,1
2413,"tim cook : augmented reality is as big of a technology as the smartphone - $aapl",0,0,1
2414,"investors may not realize how quickly microsoft is adding customers to its cloud business -- @jimcramer : $msft",0,1,1
2415,"a magnificent day for the optimists . the vast pile of negative noise investors have to plow through and held stocks the last few years $spy",0,1,1
2416,"the next big thing for #iphonex via @barronstechblog $aapl $lite",0,0,1
2417,"rt @bobpisani : s & amp ; p <num> $spy just topped $<num> trillion in assets . market cap of remaining <num>,<num> stocks in the russell <num> : about $<num> trilli",0,0,1
2418,"tesla hits highest prices since july <num> , the month i started at marketwatch and `` ludicrous '' mode arrived .",1,0,1
2419,"i hope these <num>+ trading rules help you how they 've helped me discipline matters $fb $twtr",0,0,1
2420,"caterpillar must have become a far more excellent company the past few years , given the stock 's impressive p/e expa",2,0,1
2421,"finally ... a profitable strategy. '' $twtr twitter might reduce advertising products , according to techcrunch ``",1,0,1
2422,"cisco 's upcoming <alphanum> earnings will likely highlight its global operations , particularly concerning china :",0,0,1
2423,"tesla could decide to tap capital markets as its shares rally , analyst says , by our @claudiassis<num> $tsla",0,0,1
2424,"rt @lisahopeking : live in <num> : talking $aapl highs , #nodapl with bep 's taboo & amp ; catching up with @parachutehome #cheddarlive",1,0,1
2425,"apple shares hit new record , and verizon reveals unlimited data plan . watch : #cheddarlive #golive $aapl $vz",0,0,1
2426,"asian tech titans take a page from trump s book - the new york times $baba",0,0,1
2427,"gene munster says apple is taking baby steps into augmented reality $aapl",0,0,1
2428,"shares of apple were advancing <num>.<num> % as iphone <num> rumors continue to abound : $aapl",1,0,1
2429,"we 're now joined by @cfraresearch 's angelo zino to discuss apple 's stellar day of trading . #cheddarlive $aapl",0,0,1
2430,"brady 's not the only comeback wonder . remember when $aapl & amp ; tech sold off in november ? now we 're talking",0,1,1
2431,"red-hot apple shares are on track to take out a closing high set two years ago via @jswartz",0,1,1
2432,"allergan 's chief r & amp ; d officer talks avycaz , assembly biosciences and <num> 'potential blockbusters ' in the pipeline $agn",0,0,1
2433,"$tsla we will talk tonight on @cnbcfastmoney <num>.<num> <num>d rsi is the highest level in its trading history",1,0,1
2434,"$lnkd always adds so much value",0,0,1
2435,"apple shares close at all-time high h/t @msabalakrishnan $aapl",0,0,1
2436,"chesapeake settles with estate of former ceo aubrey mcclendon , dropping $<num>m damage claim . via @ailworth $chk",0,2,1
2437,"record high closing price for apple $aapl stock $<num>.<num> ... record intraday high still $<num>.<num> from apr <num> , <num>",0,1,1
2438,"definitely check out my free and free bookmark them all asap $fb $twtr",0,0,1
2439,"rt @goldmansachs : proud to be named the #<num> #fcmostinnovative finance co by @fastcompany thanks to $gs ' online lending platform @marcus",0,0,1
2440,". @cfraresearch says one reason for apple 's surge is the upcoming iphone , which will have features that excite consu",0,0,1
2441,"nvidia has beat the street in every quarter since <num> ; how do rivals measure up ? $nvda $amba $amd $intc",0,0,1
2442,"proud to be named the #<num> #fcmostinnovative finance co by @fastcompany thanks to $gs ' online lending platform @marcus",0,0,1
2443,"people really , really like owning shares of apple $aapl",0,0,1
2444,"tim cook says augmented reality will be as big for technology as the smartphone was , may come with iphone <num> :",0,0,1
2445,"record high for apple helps push the s & amp ; p <num> past $<num> trillion $aapl $spy",0,0,1
2446,"rt @evanmedeiros : s & amp ; <alphanum> pushing through the upper bollinger band as it rallies higher for the fourth day in a row $spy $spx #trading",0,0,1
2447,"good lesson on share buybacks : $aapl hit all time high in share price today , but fewer shares means $<num>b market ca",1,0,1
2448,"$tsla the beautiful moves that turned a risky strategy into a gigantic winner -- with less risk .",2,3,1
2449,"breaking : $amzn now uses the .aws top level domain for their products . game changer ! also something about some han",1,1,1
2450,"sunny optical : macquarie sees another <num> % upside via @barronsasia $<num>.hk $aapl",1,0,1
2451,"<num> more #wallstreet pros check in on costco stock $cost",0,0,1
2452,"the iphone <num> is rumoured to be getting <num> radical changes that will boost battery life $aapl",1,0,1
2453,"$iwm had a big <num> day move . if u sold $<num>ish with me yesterday . today perhaps we can buyback <num>.<num>ish with yesterday 's pivot low at $<num>.<num>",0,1,1
2454,"$spy up for five sessions from $<num>.<num> breakout . holding $<num>ish keeps momentum intact . even $<num>.<num> is fine . pivot resistance $<num>.<num>",0,0,1
2455,"$spx futures -<num> after five rally days . an inside day would be healthy . holding <num>-<num> keeps momentum intact . pivot resistance <num>",0,0,1
2456,"good morning . mixed markets around the world . europe flattish but keeps yesterday 's big gains . in asia the nikkei-<num>.<num> % , shanghai+.<num> % $spx-<num>",2,0,1
2457,"here 's the first trailer for apple 's reality tv show 'planet of the apps ' $aapl",0,0,1
2458,"thanks to everyone who joined for this , some great insights on $goog and $fb",0,0,1
2459,"shares of $aapl closing at a record high yesterday #apple #stocks @simonettilauren",0,1,1
2460,"apple exec promises big things for company 's first-ever original series $aapl",0,0,1
2461,"git jiggy w/ it , $spy still hanging out at highs , probably select names gon na rock out . stay in the right names or",1,0,1
2462,"live at <num>:<num>am on yellen speech preview + $aapl shares hit record high @emilystewartm",0,0,1
2463,"#stockalert - stocks to watch today on #wallstreet $tsla $amzn $aapl",0,0,1
2464,"rt @vicrek : chart of the day : goldman 's stock is within spitting distance of its <num> peak $gs",0,0,1
2465,"chart of the day : goldman 's stock is within spitting distance of its <num> peak $gs",0,0,1
2466,"rt @tradingnation : here are some mind-blowing stats about apple s incredible run $aapl via @cnbcdiaz",1,0,1
2467,"here are some mind-blowing stats about apple s incredible run $aapl via @cnbcdiaz",1,0,1
2468,"$<num> trillion tuesday - s & amp ; p <num> 's mind-blowing valuation $xom $oil $slw $svu $ctsh $qcom",0,0,1
2469,"guess $tsla not done at <num>",0,1,1
2470,"here are some mind-blowing stats about apple s incredible run : $aapl",1,0,1
2471,"#stocks start a little lower . it 's actually good news to get rid of #flynn . tesla t-mobile and sands moving higher . $tsla $lvs $tmus",1,2,1
2472,"amazing how cnbc knows the precise reason for all market movements . yesterday , $aapl was up because a new iphone will ship in <num> months .",0,0,1
2473,"rt @liamdenning : tesla now within <num>.<num> % of all-time intraday peak $tsla",0,0,1
2474,"rt @thedomino : after <num> record s & amp ; p <num> highs yest , we 've got <num> new records in early trading today , incl : home depot $hd marriott $mar rayth",1,0,1
2475,"$nvda nice opp this morning",0,0,1
2476,"after <num> record s & amp ; p <num> highs yest , we 've got <num> new records in early trading today , incl : home depot $hd marriott $mar raytheon $rtn etc",1,0,1
2477,"rt @scottbudman : as of this moment , apple is a <num> billion dollar company . $aapl",0,0,1
2478,"#stocks to watch : $mat hooks up with $baba , $aet , $hum call off merger , $gm may sell european division",0,1,1
2479,"tesla now within <num>.<num> % of all-time intraday peak $tsla",0,0,1
2480,"@sanglucci $bac seeing a lotta love here @wallstjesus some $c in there too :",1,0,1
2481,"banks getting bid from this as well . $bac $gs $jpm",0,0,1
2482,"hawkish . see if banks keep initial reflex up . $bac needs to hold $<num>.<num> now",0,0,1
2483,".. @mattel and @alibabagroup have joined forces in china to tackle the $<num>b toy market . $mat $baba",0,0,1
2484,"goldman sachs all-time high if we close here $gs",0,0,1
2485,"$nvda what great entries on wash outs this am unreal opp along with $amd today !",0,0,1
2486,"rt @brady_fbn : . @goldmansachs stock on pace for record close , trading above prev record <num>.<num> on <num>/<num>/<num> . $gs up <num> % since #trumpelection",0,0,1
2487,". @goldmansachs stock on pace for record close , trading above prev record <num>.<num> on <num>/<num>/<num> . $gs up <num> % since #trumpelection . @foxbusiness",0,0,1
2488,"rt @valaafshar : apple 's market cap at $<num> billion . $aapl",0,0,1
2489,"this is y $bac was a focus . look at <num> month channel . it went above & amp ; stayed above $<num>.<num> - ( hawkish ) is what we want",0,0,1
2490,"cisco 's john chambers told cnbc that the world is going digital and the us needs to focus on digitization : $csco",0,0,1
2491,"gone up non-stop from the mid-teens since i recommended $mu and i think you should recognize that",0,0,1
2492,"watch the two trailers for apple music s new original shows , planet of the apps and carpool karaoke - $aapl",0,0,1
2493,"fed chief yellen 's hawkish tone lifts bond yields , bank stocks $bac $jpm $gs $wfc",0,0,1
2494,"$aapl looks to raise $<num> billion in second taiwanese bond sale",0,0,1
2495,"$aapl 's eddy @cue - `` we saw this an an opportunity to do some new & amp ; creative things that have n't been done before ''",2,0,1
2496,"after setting new highs , markets prepare for a date with yellen $spy $xrt $aapl $csco $pep $khc $wmt",1,0,1
2497,"apple 's love affair with wall street is back . $aapl",1,0,1
2498,"rt @microfundy : roses are red violets are blue $aapl just hit an all time high media folks , you know what to do #fintwitvalentines",0,0,1
2499,"$aapl at a record , but still <num>.<num> % below it 's all-time high market cap of $<num>b , due to share buybacks . ( h/t @berthacoombs , @humonthemarkets )",0,0,1
2500,"another record : apple notches a new all-time intraday high $aapl #tech #techtuesday",0,0,1
2501,"new all-time high for apple ! $<num>.<num> . ( may be higher by time i finish this tweet . ) $aapl up <num> %",0,0,1
2502,"theeeere it is $aapl",0,0,1
2503,"and yes ... apple $aapl did hit a record high intraday stock price ... $<num>.<num> so far today is the new benchmark",1,0,1
2504,"yahoo page on $aapl as it reached all-time high :",0,0,1
2505,"the s & amp ; p is at more all time highs ... flynntastic $spy",1,0,1
2506,"rt @halftimereport : apple hits new all-time high $aapl #breaking",0,0,1
2507,"apple hits new all-time high $aapl #breaking",0,0,1
2508,"it 's been years since $trillion market cap $aapl headlines , surely more to come if this baby keeps climbing .",0,0,1
2509,"goldman stock just passed its closing high , and is <num>.<num> % off its intraday high . both set halloween <num> . $gs",0,1,1
2510,"less than <num> years since it debuted the feature , facebook is now no . <num> in live streaming $fb $twtr $goog",0,2,1
2511,"rt @bzawards : @peerstreet : enabling real estate investors to reach previously inaccessible asset classes $atvi $ea $",1,1,1
